dob,photo_taken,full_path,gender,name,face_location,face_score,second_face_score,celeb_id
693726,1968,01/nm0000001_rm124825600_1899-5-10_1968.jpg,1,Fred Astaire,[1072.926 161.838 1214.784 303.696],1.459693,1.118973,6488 
693726,1970,01/nm0000001_rm3343756032_1899-5-10_1970.jpg,1,Fred Astaire,[477.184 100.352 622.592 245.76],2.543198,1.852008,6488 
693726,1968,01/nm0000001_rm577153792_1899-5-10_1968.jpg,1,Fred Astaire,[114.969643089629 114.969643089629 451.686572358514 451.686572358514],3.455579,2.985660,6488 
693726,1968,01/nm0000001_rm946909184_1899-5-10_1968.jpg,1,Fred Astaire,[622.885505642659 424.217503837008 844.339007674016 645.671005868365],1.872117,NaN,6488 
693726,1968,01/nm0000001_rm980463616_1899-5-10_1968.jpg,1,Fred Astaire,[1013.85900236037 233.882042207585 1201.58612780294 421.609167650155],1.158766,NaN,6488 
702986,1991,02/nm0000002_rm1075631616_1924-9-16_1991.jpg,0,Lauren Bacall,[686.676820594097 458.467213729398 1198.10043603967 969.890829174971],3.490563,1.345335,11516 
702986,2004,02/nm0000002_rm1346607872_1924-9-16_2004.jpg,0,Lauren Bacall,[78.235694065589 52.3351293770593 194.254235163973 168.353670475443],3.479189,NaN,11516 
702986,2004,02/nm0000002_rm1363385088_1924-9-16_2004.jpg,0,Lauren Bacall,[64.3086710375239 64.3086710375239 207.267680871953 207.267680871953],3.870171,NaN,11516 
702986,1991,02/nm0000002_rm1411175936_1924-9-16_1991.jpg,0,Lauren Bacall,[212.767236922336 1055.64418461168 526.798092305839 1357.824],3.786499,3.629704,11516 
702986,2004,02/nm0000002_rm1447271168_1924-9-16_2004.jpg,0,Lauren Bacall,[242.176 49.664 278.528 86.016],3.472944,2.945133,11516 
702986,2008,02/nm0000002_rm1624085760_1924-9-16_2008.jpg,0,Lauren Bacall,[108.038948506489 28.8262496069709 158.425397799037 79.2126988995184],3.862811,1.525307,11516 
702986,1991,02/nm0000002_rm1646056960_1924-9-16_1991.jpg,0,Lauren Bacall,[72.2877456407785 1055.64418461168 386.318601024282 1366.016],3.767166,3.463460,11516 
702986,1974,02/nm0000002_rm221957120_1924-9-16_1974.jpg,0,Lauren Bacall,[3173.14469259343 401.040836574179 4059.15207488534 1287.04821886608],4.096431,NaN,11516 
702986,2007,02/nm0000002_rm2287049216_1924-9-16_2007.jpg,0,Lauren Bacall,[138.806202479482 33.92673852953 181.155437731734 76.2759737817829],3.482030,NaN,11516 
702986,1974,02/nm0000002_rm238734336_1924-9-16_1974.jpg,0,Lauren Bacall,[2135.21778394246 765.853779979451 3499.48578790548 2130.12178394246],4.865421,NaN,11516 
702986,2006,02/nm0000002_rm2585828096_1924-9-16_2006.jpg,0,Lauren Bacall,[70.089225737526 87.4660321719075 225.89848364696 243.275290081341],5.414545,NaN,11516 
702986,2006,02/nm0000002_rm2602605312_1924-9-16_2006.jpg,0,Lauren Bacall,[52.186 121.05 129.12 197.984],4.349961,3.205523,11516 
702986,2006,02/nm0000002_rm2619382528_1924-9-16_2006.jpg,0,Lauren Bacall,[213.212 58.588 299.584 144.96],4.361549,1.494865,11516 
702986,2006,02/nm0000002_rm2769394176_1924-9-16_2006.jpg,0,Lauren Bacall,[109.424674586623 82.2410059399672 231.061183496574 203.877514849918],4.360469,NaN,11516 
702986,2004,02/nm0000002_rm2780403712_1924-9-16_2004.jpg,0,Lauren Bacall,[117.050570122545 74.1263600773969 171.696840180593 128.772630135445],3.559209,NaN,11516 
702986,1988,02/nm0000002_rm2805435904_1924-9-16_1988.jpg,0,Lauren Bacall,[548.38500496554 200.716001805651 769.838506996897 422.169503837008],3.410720,1.196696,11516 
702986,2004,02/nm0000002_rm2813958144_1924-9-16_2004.jpg,0,Lauren Bacall,[294.490138267056 52.418494988304 345.81663325536 103.744989976608],4.344887,3.783331,11516 
702986,1974,02/nm0000002_rm289065984_1924-9-16_1974.jpg,0,Lauren Bacall,[991.499395525014 744.876546643761 1430.41252351127 1183.78967463002],4.635294,3.911928,11516 
702986,2007,02/nm0000002_rm2983566080_1924-9-16_2007.jpg,0,Lauren Bacall,[85.5360574434605 47.7484763574781 170.044114886921 132.256533800939],4.126855,NaN,11516 
702986,1974,02/nm0000002_rm305843200_1924-9-16_1974.jpg,0,Lauren Bacall,[1020.12114151746 743.275648376334 1430.36838122915 1153.52288808802],4.521520,3.694407,11516 
